sample	cluster
ADCADN	1
ATRX	2
AUTS18	3
BAFopathy	4
BFLS	5
CdLS	6
CHARGE	7
Down	8
Dup7	9
EEOC	10
FLHS	11
GTPTS	12
HMA	13
HVDAS_C	14
HVDAS_T	15
ICF1	16
ICF2_3_4	17
Kabuki	18
KDVS	19
Kleefstra	20
MRD51	21
MRX93	22
MRX97	23
MRXCJS	24
MRXSN	25
MRXSSR	26
RMNS	27
RSTS	28
SBBYSS	29
SETD1B	30
Sotos	31
TBRS	32
WDSTS	33
Williams	34
EPI_02	18
EPI_12	4
EPI_01	18
EPI_04	31
EPI_09	31
EPI_11	6
EPI_03	31
EPI_05	33
EPI_07	6
EPI_17	28
EPI_08	18
EPI_06	33
EPI_14	19
EPI_16	34
EPI_10	33
EPI_13	5
EPI_15	20
EPI_18	23
EPI_19	18
EPI_20	25
Control_1	35
Control_2	35
Control_3	35
Control_4	35
Control_5	35
Control_6	35
Control_7	35
Control_8	35
Control_9	35
Control_10	35
Control_11	35
Control_12	35
Control_13	35
Control_14	35
Control_15	35
Control_16	35
Control_17	35
Control_18	35
Control_19	35
Control_20	35
Control_21	35
Control_22	35
Control_23	35
Control_24	35
Control_25	35
Control_26	35
Control_27	35
Control_28	35
Control_29	35
Control_30	35
Control_31	35
Control_32	35
Control_33	35
Control_34	35
Control_35	35
Control_36	35
Control_37	35
Control_38	35
Control_39	35
Control_40	35
Control_41	35
barcode04_combined	18
HG002_combined	35
